province,city,lat,lng,population,population_proper
Northwest Territories,Holman,70.733333,-117.75,500,398
Manitoba,Lynn Lake,56.85,-101.05,482,482
Quebec,Schefferville,54.8,-66.816667,471,471
Newfoundland and Labrador,Trout River,49.483333,-58.116667,452,452
Newfoundland and Labrador,Forteau Bay,51.45,-56.95,448,448
Northwest Territories,Fort Resolution,61.166667,-113.683333,448,448
Newfoundland and Labrador,Hopedale,55.45,-60.216667,442,442
Manitoba,Pukatawagan,55.733333,-101.316667,431,431
Newfoundland and Labrador,Trepassey,46.733333,-53.366667,398,398
Nunavut,Kimmirut,62.85,-69.883333,385,385
Nunavut,Chesterfield Inlet,63.333333,-90.7,374,374
Quebec,Eastmain,52.233333,-78.516667,335,335
British Columbia,Dease Lake,58.476697,-129.96146,303,303
Northwest Territories,Paulatuk,69.383333,-123.983333,294,294
Northwest Territories,Fort Simpson,61.85,-121.333333,283,283
Manitoba,Brochet,57.883333,-101.666667,278,278
Ontario,Cat Lake,51.716667,-91.8,277,277
Quebec,Radisson,53.783333,-77.616667,270,270
Quebec,Port-Menier,49.816667,-64.35,263,263
Nunavut,Resolute,74.683333,-94.9,250,229
Newfoundland and Labrador,Saint Anthony,51.383333,-55.6,224,224
Newfoundland and Labrador,Port Hope Simpson,52.533333,-56.3,197,197
Manitoba,Oxford House,54.95,-95.266667,184,184
Northwest Territories,Tsiigehtchic,67.433333,-133.75,175,175
Quebec,Ivujivik,62.416667,-77.9,156,156
Saskatchewan,Stony Rapids,59.266667,-105.833333,152,152
Nunavut,Alert,82.483333,-62.25,125,70
Ontario,Fort Severn,55.983333,-87.65,125,125
Newfoundland and Labrador,Rigolet,54.166667,-58.433333,124,124
Ontario,Lansdowne House,52.216667,-87.883333,120,120
Quebec,Salluit,62.2,-75.633333,106,106
Northwest Territories,Lutselke,62.4,-110.733333,102,102
Saskatchewan,Uranium City,59.566667,-108.616667,89,89
Yukon,Burwash Landing,61.35,-139,73,73
Nunavut,Grise Fiord,76.416667,-82.95,23,23
Ontario,Big Beaverhouse,52.95,-89.883333,10,10
Manitoba,Island Lake,53.966667,-94.766667,10,10
Nunavut,Ennadai,61.133333,-100.883333,0,0
